id,age,salary,department,join_date,performance_score
1,56,81832.34,HR,2022-08-31,3.0
2,69,65486.98,Sales,2022-11-11,1.0
3,46,27209.45,Sales,2022-04-28,3.0
4,32,42736.49,Marketing,2022-01-17,3.0
5,60,69003.67,Sales,2022-09-15,1.0
6,25,39384.96,Engineering,2020-01-21,
7,38,56657.29,Engineering,2020-10-29,4.0
8,56,61619.51,Sales,2022-05-18,1.0
9,36,36096.04,Sales,2020-03-24,3.0
10,40,49107.12,Marketing,2021-07-23,5.0
11,28,1380.99,Engineering,2022-07-22,4.0
12,28,34634.19,Engineering,2022-10-05,2.0
13,41,46211.48,HR,2022-03-03,4.0
14,53,31283.25,Marketing,2022-03-02,
15,57,74486.17,HR,2021-05-06,
16,41,28547.88,Engineering,2020-07-26,3.0
17,20,43399.33,Marketing,2022-12-19,2.0
18,39,51961.11,Sales,2021-03-05,2.0
19,19,71619.1,Marketing,2022-09-11,3.0
20,41,28462.07,Sales,2021-06-03,1.0
21,61,67447.46,Sales,2021-08-13,1.0
22,47,50153.5,Marketing,2022-11-16,3.0
23,55,35277.37,Sales,2020-07-17,4.0
24,19,56931.55,HR,2021-01-21,3.0
25,38,52985.9,Engineering,2020-12-14,2.0
26,50,40996.75,Sales,2022-08-17,2.0
27,29,51047.03,HR,2021-11-23,1.0
28,39,44220.3,Sales,2021-01-12,
29,61,51702.76,Engineering,2022-06-17,4.0
30,42,59931.96,HR,2022-07-04,2.0
31,66,73790.25,Engineering,2021-06-10,1.0
32,44,31432.77,Engineering,2022-01-03,3.0
33,59,81995.5,HR,2020-07-24,3.0
34,45,20718.68,HR,2021-03-30,3.0
35,33,47723.22,HR,2021-06-04,1.0
36,32,58824.76,Marketing,2022-10-13,1.0
37,64,54214.88,HR,2022-08-13,1.0
38,68,40659.51,HR,2021-12-26,1.0
39,61,46878.17,HR,2022-10-10,3.0
40,69,42604.99,HR,2021-05-15,4.0
41,20,41159.53,Sales,2020-04-26,3.0
42,54,62744.03,Marketing,2021-01-20,4.0
43,68,55355.23,Engineering,2021-08-06,2.0
44,24,39606.36,HR,2021-01-29,3.0
45,38,63494.0,Sales,2022-12-23,2.0
46,26,54609.49,Sales,2021-12-21,3.0
47,56,62192.93,Sales,2020-03-12,3.0
48,35,59444.43,Engineering,2020-09-30,1.0
49,21,37565.07,HR,2020-12-03,2.0
50,42,41597.28,Marketing,2021-08-29,5.0
51,31,61209.4,Marketing,2020-06-14,1.0
52,67,59155.55,Sales,2020-01-11,1.0
53,26,49686.48,Engineering,2021-12-29,2.0
54,43,51759.91,Engineering,2022-03-11,4.0
55,19,69164.97,Engineering,2020-04-11,3.0
56,37,41126.43,Marketing,2022-02-17,3.0
57,45,58206.46,Sales,2020-08-01,1.0
58,64,46967.11,HR,2021-02-04,3.0
59,24,46734.78,Marketing,2021-08-10,2.0
60,61,66481.65,Sales,2022-06-07,4.0
61,25,62381.25,Sales,2022-12-05,3.0
62,64,62202.64,HR,2021-08-14,1.0
63,52,69582.18,HR,2020-04-01,
64,31,50315.06,HR,2021-11-03,
65,34,60229.29,Engineering,2021-12-14,2.0
66,53,45346.0,HR,2022-07-24,2.0
67,67,54862.5,Sales,2020-08-29,3.0
68,57,48047.85,HR,2020-01-02,3.0
69,21,51454.94,Sales,2020-08-12,2.0
70,19,58927.36,Marketing,2022-03-11,1.0
71,23,37726.69,Engineering,2021-08-11,1.0
72,59,81385.81,Marketing,2020-04-25,4.0
73,21,34909.74,Marketing,2022-07-06,1.0
74,46,31787.17,Sales,2020-07-12,3.0
75,35,67371.66,Marketing,2022-05-20,4.0
76,43,61874.94,Sales,2020-03-30,3.0
77,61,59361.8,HR,2020-05-01,4.0
78,51,59425.18,HR,2020-05-22,2.0
79,27,49816.3,Sales,2022-09-20,5.0
80,53,36541.18,HR,2020-04-15,1.0
81,31,51137.07,Engineering,2022-06-05,1.0
82,48,39842.57,Marketing,2021-03-03,3.0
83,65,64626.8,Engineering,2020-11-12,5.0
84,32,47794.14,Marketing,2021-09-26,4.0
85,25,37617.54,HR,2020-01-09,
86,31,45179.21,Engineering,2022-02-12,2.0
87,40,56193.97,HR,2020-08-10,5.0
88,57,41544.13,Marketing,2021-07-06,2.0
89,38,37666.69,Sales,2021-12-16,4.0
90,33,53655.31,Sales,2020-04-20,4.0
91,62,53674.5,Engineering,2020-09-07,3.0
92,35,42395.85,HR,2021-01-17,2.0
93,64,42934.43,HR,2020-01-07,3.0
94,41,53480.75,Engineering,2021-04-03,1.0
95,43,28278.73,Sales,2020-07-26,4.0
96,42,28888.04,Marketing,2022-06-18,3.0
97,62,39223.34,Engineering,2020-01-22,4.0
98,58,46798.29,Marketing,2021-02-13,1.0
99,46,54663.61,Sales,2022-06-13,5.0
100,32,72130.34,HR,2021-05-29,2.0
101,62,62864.89,Sales,2022-03-19,
102,18,47600.92,Engineering,2022-05-23,
103,42,49714.76,HR,2020-01-14,3.0
104,24,34962.06,Engineering,2022-08-28,3.0
105,26,49722.3,Engineering,2022-09-04,4.0
106,41,45670.12,Sales,2022-10-10,1.0
107,18,54840.78,Engineering,2022-11-01,
108,61,37591.54,Sales,2020-03-27,3.0
109,25,57790.2,HR,2022-06-27,2.0
110,41,72991.08,Sales,2020-05-01,3.0
111,28,48368.6,HR,2022-01-19,5.0
112,68,56025.68,Sales,2021-11-15,5.0
113,34,60352.16,Marketing,2020-11-04,5.0
114,25,43981.69,Marketing,2021-11-25,4.0
115,52,53361.39,Engineering,2020-10-14,2.0
116,52,50188.89,Sales,2020-11-02,2.0
117,50,51465.14,Sales,2022-07-02,3.0
118,22,38404.85,HR,2021-10-23,4.0
119,59,50367.65,Engineering,2021-07-02,
120,56,57469.97,Sales,2020-11-07,2.0
